dataset,weight_model,n,m,SCC_count,SCC_ms,scc_dfs_calls,scc_dfs_edges,V_dag,E_dag,Topo_ms,kahn_pops,kahn_pushes,SP_ms,SP_relax,LP_ms,LP_relax,CriticalLen,source_vertex,source_comp,sp_example_target_comp,sp_example_path_components,critical_path_components
large1.json,edge,22,18,18,0.030,22,18,18,12,0.014,18,18,0.012,12,0.005,12,24.000,0,12,0,12->11->10->9->8->7->6->5->4->3->2->1->0,12->11->10->9->8->7->6->5->4->3->2->1->0
large2.json,edge,35,12,32,0.030,35,12,32,7,0.011,32,32,0.004,7,0.004,7,14.000,0,7,0,7->6->5->4->3->2->1->0,7->6->5->4->3->2->1->0
large3.json,edge,48,13,44,0.030,48,13,44,7,0.013,44,44,0.004,7,0.011,7,14.000,0,7,0,7->6->5->4->3->2->1->0,7->6->5->4->3->2->1->0
medium1.json,edge,12,12,9,0.009,12,12,9,7,0.003,9,9,0.002,6,0.002,7,8.000,0,6,0,6->2->1->0,6->5->4->3
medium2.json,edge,15,14,13,0.011,15,14,13,11,0.006,13,13,0.002,5,0.002,11,8.000,0,4,0,4->3->1->0,9->8->7->6->5
medium3.json,edge,18,14,15,0.008,18,14,15,9,0.004,15,15,0.002,2,0.004,9,7.000,0,2,0,2->1->0,12->11->10->9
small1.json,edge,8,7,6,0.005,8,7,6,4,0.002,6,6,0.002,3,0.001,4,11.000,4,3,0,3->2->1->0,4->3->2->1->0
small2.json,edge,7,7,7,0.004,7,7,7,7,0.002,7,7,0.002,7,0.001,7,8.000,0,6,0,6->2->1->0,6->5->4->3
small3.json,edge,10,11,6,0.005,10,11,6,5,0.002,6,6,0.001,3,0.001,5,6.000,0,3,0,3->2->1->0,3->2->1->0
tasks.json,edge,8,7,6,0.004,8,7,6,4,0.002,6,6,0.001,3,0.001,4,11.000,4,3,0,3->2->1->0,4->3->2->1->0
